time,longitude,latitude,Ktemp
1950-01-01 9:00:00,286,40.75,274.39734
1950-01-02 9:00:00,286,40.75,277.07593
1950-01-03 9:00:00,286,40.75,280.8009
1950-01-04 9:00:00,286,40.75,287.1401
1950-01-05 9:00:00,286,40.75,285.65262
1950-01-06 9:00:00,286,40.75,281.72754
1950-01-07 9:00:00,286,40.75,281.77194
1950-01-08 9:00:00,286,40.75,270.4338
1950-01-09 9:00:00,286,40.75,270.39838
1950-01-10 9:00:00,286,40.75,277.31894
1950-01-11 9:00:00,286,40.75,280.98553
1950-01-12 9:00:00,286,40.75,272.57898
1950-01-13 9:00:00,286,40.75,277.24707
1950-01-14 9:00:00,286,40.75,283.00296
1950-01-15 9:00:00,286,40.75,276.9746
1950-01-16 9:00:00,286,40.75,279.9566
1950-01-17 9:00:00,286,40.75,275.2581
1950-01-18 9:00:00,286,40.75,276.34338
1950-01-19 9:00:00,286,40.75,273.3679
1950-01-20 9:00:00,286,40.75,269.56607
1950-01-21 9:00:00,286,40.75,271.04358
1950-01-22 9:00:00,286,40.75,275.5021
1950-01-23 9:00:00,286,40.75,277.90027
1950-01-24 9:00:00,286,40.75,279.49652
1950-01-25 9:00:00,286,40.75,277.64575
1950-01-26 9:00:00,286,40.75,284.0683
1950-01-27 9:00:00,286,40.75,281.77942
1950-01-28 9:00:00,286,40.75,272.31802
1950-01-29 9:00:00,286,40.75,278.84235
1950-01-30 9:00:00,286,40.75,280.78394
1950-01-31 9:00:00,286,40.75,273.95023
1950-02-01 9:00:00,286,40.75,273.43774
1950-02-02 9:00:00,286,40.75,275.58142
1950-02-03 9:00:00,286,40.75,275.33893
1950-02-04 9:00:00,286,40.75,273.9647
1950-02-05 9:00:00,286,40.75,273.812
1950-02-06 9:00:00,286,40.75,274.52505
1950-02-07 9:00:00,286,40.75,274.96918
1950-02-08 9:00:00,286,40.75,268.59802
1950-02-09 9:00:00,286,40.75,276.776
1950-02-10 9:00:00,286,40.75,277.54846
1950-02-11 9:00:00,286,40.75,276.66776
1950-02-12 9:00:00,286,40.75,276.8324
1950-02-13 9:00:00,286,40.75,275.72015
1950-02-14 9:00:00,286,40.75,274.04803
1950-02-15 9:00:00,286,40.75,275.78403
1950-02-16 9:00:00,286,40.75,276.01505
1950-02-17 9:00:00,286,40.75,276.38184
1950-02-18 9:00:00,286,40.75,276.0874
1950-02-19 9:00:00,286,40.75,276.07742
1950-02-20 9:00:00,286,40.75,267.39044
1950-02-21 9:00:00,286,40.75,262.2169
1950-02-22 9:00:00,286,40.75,270.32803
1950-02-23 9:00:00,286,40.75,271.94876
1950-02-24 9:00:00,286,40.75,273.4248
1950-02-25 9:00:00,286,40.75,272.35443
1950-02-26 9:00:00,286,40.75,268.49872
1950-02-27 9:00:00,286,40.75,264.32465
1950-02-28 9:00:00,286,40.75,267.03967
1950-03-01 9:00:00,286,40.75,275.1593
1950-03-02 9:00:00,286,40.75,269.90387
1950-03-03 9:00:00,286,40.75,264.17792
1950-03-04 9:00:00,286,40.75,266.0402
1950-03-05 9:00:00,286,40.75,273.05853
1950-03-06 9:00:00,286,40.75,276.68073
1950-03-07 9:00:00,286,40.75,270.3934
1950-03-08 9:00:00,286,40.75,277.9821
1950-03-09 9:00:00,286,40.75,275.32147
1950-03-10 9:00:00,286,40.75,269.95776
1950-03-11 9:00:00,286,40.75,272.3849
1950-03-12 9:00:00,286,40.75,277.7196
1950-03-13 9:00:00,286,40.75,275.3534
1950-03-14 9:00:00,286,40.75,273.0825
1950-03-15 9:00:00,286,40.75,275.13583
1950-03-16 9:00:00,286,40.75,273.84692
1950-03-17 9:00:00,286,40.75,273.87787
1950-03-18 9:00:00,286,40.75,275.52606
1950-03-19 9:00:00,286,40.75,271.52014
1950-03-20 9:00:00,286,40.75,274.85388
1950-03-21 9:00:00,286,40.75,275.7541
1950-03-22 9:00:00,286,40.75,276.05548
1950-03-23 9:00:00,286,40.75,277.6802
1950-03-24 9:00:00,286,40.75,277.89975
1950-03-25 9:00:00,286,40.75,278.773
1950-03-26 9:00:00,286,40.75,278.67868
1950-03-27 9:00:00,286,40.75,278.65872
1950-03-28 9:00:00,286,40.75,285.76688
1950-03-29 9:00:00,286,40.75,284.30286
1950-03-30 9:00:00,286,40.75,275.96866
1950-03-31 9:00:00,286,40.75,275.4557
1950-04-01 9:00:00,286,40.75,277.67322
1950-04-02 9:00:00,286,40.75,282.10077
1950-04-03 9:00:00,286,40.75,283.31732
1950-04-04 9:00:00,286,40.75,287.3058
1950-04-05 9:00:00,286,40.75,286.699
1950-04-06 9:00:00,286,40.75,278.88278
1950-04-07 9:00:00,286,40.75,275.8519
1950-04-08 9:00:00,286,40.75,279.27197
1950-04-09 9:00:00,286,40.75,278.0335
1950-04-10 9:00:00,286,40.75,277.1882
1950-04-11 9:00:00,286,40.75,281.18015
1950-04-12 9:00:00,286,40.75,281.21008
1950-04-13 9:00:00,286,40.75,278.72308
1950-04-14 9:00:00,286,40.75,274.7491
1950-04-15 9:00:00,286,40.75,278.3768
1950-04-16 9:00:00,286,40.75,280.22458
1950-04-17 9:00:00,286,40.75,283.76044
1950-04-18 9:00:00,286,40.75,288.2369
1950-04-19 9:00:00,286,40.75,288.50787
1950-04-20 9:00:00,286,40.75,284.9286
1950-04-21 9:00:00,286,40.75,282.10678
1950-04-22 9:00:00,286,40.75,281.48703
1950-04-23 9:00:00,286,40.75,283.45355
1950-04-24 9:00:00,286,40.75,281.91217
1950-04-25 9:00:00,286,40.75,281.13574
1950-04-26 9:00:00,286,40.75,283.3313
1950-04-27 9:00:00,286,40.75,283.09778
1950-04-28 9:00:00,286,40.75,283.477
1950-04-29 9:00:00,286,40.75,283.68158
1950-04-30 9:00:00,286,40.75,280.9461
1950-05-01 9:00:00,286,40.75,281.1073
1950-05-02 9:00:00,286,40.75,283.5838
1950-05-03 9:00:00,286,40.75,285.0613
1950-05-04 9:00:00,286,40.75,285.87665
1950-05-05 9:00:00,286,40.75,285.87268
1950-05-06 9:00:00,286,40.75,287.6536
1950-05-07 9:00:00,286,40.75,294.1874
1950-05-08 9:00:00,286,40.75,283.85925
1950-05-09 9:00:00,286,40.75,285.94403
1950-05-10 9:00:00,286,40.75,288.6915
1950-05-11 9:00:00,286,40.75,290.55273
1950-05-12 9:00:00,286,40.75,289.16156
1950-05-13 9:00:00,286,40.75,289.17252
1950-05-14 9:00:00,286,40.75,289.40955
1950-05-15 9:00:00,286,40.75,285.227
1950-05-16 9:00:00,286,40.75,287.9854
1950-05-17 9:00:00,286,40.75,288.01086
1950-05-18 9:00:00,286,40.75,284.7589
1950-05-19 9:00:00,286,40.75,282.5848
1950-05-20 9:00:00,286,40.75,283.84973
1950-05-21 9:00:00,286,40.75,288.25885
1950-05-22 9:00:00,286,40.75,288.41803
1950-05-23 9:00:00,286,40.75,287.61816
1950-05-24 9:00:00,286,40.75,289.37213
1950-05-25 9:00:00,286,40.75,289.84265
1950-05-26 9:00:00,286,40.75,289.25235
1950-05-27 9:00:00,286,40.75,290.97787
1950-05-28 9:00:00,286,40.75,286.83273
1950-05-29 9:00:00,286,40.75,286.97794
1950-05-30 9:00:00,286,40.75,289.58517
